restaurant_name,location,cuisines,rate,approx_cost_for_two,online_order,book_table,price_segment,rating_category
De Street Cafe,BTM,Cafe,3.6,500,No,No,Low,Average
Swadista Aahar,BTM,"South Indian, North Indian, Chinese, Street Food",4.2,300,Yes,No,Low,High Rating
Fish Chain,HSR,"Seafood, BBQ, Biryani",4.0,250,Yes,No,Low,High Rating
Sai Abhiruchi,BTM,"Andhra, North Indian, Biryani",3.8,800,Yes,No,Mid,Average
FreshMenu,Koramangala,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450,Yes,No,Low,Average
The Paratha Company,HSR,North Indian,4.3,400,Yes,No,Low,High Rating
New Tasty Cafeteria,BTM,"North Indian, Kerala",3.8,500,Yes,No,Low,Average
Capsicum Family Restaurant,BTM,"Biryani, North Indian",3.8,800,Yes,No,Mid,Average
Shiv Shakthi,HSR,"Street Food, North Indian",4.0,100,Yes,No,Low,High Rating
La Pino'z Pizza,Koramangala 4th Block,"Italian, Pizza, Beverages",4.1,600,Yes,No,Mid,High Rating
Shanmukha,HSR,"Biryani, Andhra, North Indian, Chinese",4.0,800,Yes,No,Mid,High Rating
Gogula's Sweets & Chats,BTM,"Mithai, Street Food, Fast Food",4.0,200,Yes,No,Low,High Rating
Chettayees,BTM,"Kerala, North Indian, Chinese",3.4,400,Yes,No,Low,Average
Sardarji Londonwaley,Koramangala 1st Block,North Indian,4.1,450,Yes,No,Low,High Rating
Leon Grill,Koramangala 5th Block,"Burger, Fast Food",4.3,500,Yes,No,Low,High Rating
Khatta Meetha Teekha,Koramangala 6th Block,"Street Food, North Indian, Mithai, Chinese, Beverages",4.2,300,Yes,No,Low,High Rating
Chaat Street,Koramangala 6th Block,"Street Food, North Indian",4.0,250,Yes,No,Low,High Rating
XO Belgian Waffle,BTM,"Desserts, Beverages",4.5,400,Yes,No,Low,High Rating
Truly Punjab,Koramangala 1st Block,"North Indian, Biryani",4.2,500,Yes,No,Low,High Rating
BOX8- Desi Meals,HSR,"North Indian, Mughlai, Fast Food",4.2,500,Yes,No,Low,High Rating
Kannur Food Point,BTM,"Kerala, Chinese",3.7,200,Yes,No,Low,Average
Burger King,HSR,"Burger, Fast Food, Beverages",4.1,600,Yes,No,Mid,High Rating
Kullad Cafe,BTM,"North Indian, Cafe, Fast Food, Beverages",3.9,200,Yes,No,Low,Average
Bhojohori Manna,Koramangala 6th Block,"Bengali, Mughlai",4.1,650,Yes,No,Mid,High Rating
Abhiruchi Hotel,BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",3.5,600,Yes,No,Mid,Average
Cake Box,Koramangala 8th Block,"Bakery, Desserts",3.5,400,Yes,No,Low,Average
Delhi Food Point,Koramangala 1st Block,"North Indian, Beverages",3.3,250,Yes,No,Low,Average
Sri Ganesh Juice Junction,Koramangala 8th Block,"Beverages, Juices, Fast Food",4.1,150,Yes,No,Low,High Rating
Momoz,Koramangala 5th Block,"Chinese, Momos",3.9,600,No,No,Mid,Average
Al-Bek,HSR,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",3.6,300,Yes,No,Low,Average
Aligarh House,Koramangala,"North Indian, Biryani, Awadhi, Mughlai",4.4,400,Yes,No,Low,High Rating
Hotel Manu,HSR,"South Indian, Kerala, Chinese, North Indian",3.9,400,Yes,No,Low,Average
Just Shawarma,Koramangala 5th Block,Arabian,4.0,300,Yes,No,Low,High Rating
Kota Kachori,Koramangala 6th Block,"Street Food, Desserts, North Indian, Mithai, Rajasthani",4.3,400,Yes,No,Low,High Rating
Sagar Fast Food,Koramangala 8th Block,"South Indian, North Indian, Street Food, Chinese",4.0,250,Yes,No,Low,High Rating
Hatti Punjab Di,Koramangala 1st Block,"North Indian, Chinese",3.9,250,Yes,No,Low,Average
Kerala Pavilion,Domlur,"Kerala, South Indian, Seafood, Biryani",3.9,300,Yes,No,Low,Average
Wok Paper Scissors,Koramangala 5th Block,"Asian, Malaysian, Chinese, Thai, Momos",4.3,550,Yes,No,Mid,High Rating
Corner House Ice Cream,Koramangala 5th Block,"Ice Cream, Desserts",4.6,400,Yes,No,Low,High Rating
Roti Wala,BTM,North Indian,4.1,300,Yes,No,Low,High Rating
Taco Bell,Koramangala 6th Block,"Mexican, American, Fast Food",4.1,600,Yes,No,Mid,High Rating
Empire Restaurant,HSR,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",4.0,400,Yes,No,Low,High Rating
Golden Restaurant,HSR,"North Indian, Mughlai",3.4,750,Yes,Yes,Mid,Average
Ambur Biryani Point,Koramangala 1st Block,"Biryani, Kebab",4.2,250,Yes,No,Low,High Rating
Apna Punjab,BTM,"North Indian, Chinese, Fast Food",3.7,450,Yes,No,Low,Average
Onesta,HSR,"Pizza, Cafe, Italian",4.4,600,Yes,Yes,Mid,High Rating
30 Square,Koramangala 5th Block,"Tibetan, Nepalese, Momos",4.2,400,Yes,No,Low,High Rating
Biryani Pot,BTM,Biryani,3.8,500,Yes,No,Low,Average
Subway,HSR,"Salad, Fast Food",3.1,600,Yes,No,Mid,Average
Muthashy's,BTM,"Kerala, South Indian, Chinese",4.2,400,Yes,No,Low,High Rating
Dum Biryani Hub,BTM,Biryani,3.9,700,Yes,No,Mid,Average
Madeena Hotel,Koramangala 5th Block,"North Indian, Mughlai, Biryani",3.9,400,Yes,No,Low,Average
Swad Punjab Da,BTM,North Indian,4.1,150,Yes,No,Low,High Rating
Pizza Hut,Koramangala 6th Block,"Pizza, Fast Food",3.9,750,Yes,No,Mid,Average
New Punjabi Dhaba,HSR,"North Indian, Chinese",3.9,300,Yes,No,Low,Average
Chai Point,HSR,"Tea, Beverages, Fast Food",4.0,250,Yes,No,Low,High Rating
KFC,HSR,"Burger, Fast Food",3.7,400,Yes,No,Low,Average
Punjabi Dhaba,Ejipura,North Indian,3.4,350,Yes,No,Low,Average
Shree Muthahalli Veg,HSR,"South Indian, North Indian, Chinese, Juices, Ice Cream",4.2,300,Yes,No,Low,High Rating
Anand Sweets And Savouries,Koramangala 5th Block,"Mithai, Street Food",4.2,400,Yes,No,Low,High Rating
Maa Bhook Lagi,Koramangala 4th Block,North Indian,3.9,400,Yes,No,Low,Average
Vegan Heat,Koramangala 1st Block,"Healthy Food, Salad",4.1,650,Yes,No,Mid,High Rating
Bihar Ki Shan,HSR,North Indian,3.8,300,Yes,No,Low,Average
Savoury Restaurant,BTM,"Arabian, North Indian, Chinese, Fast Food",3.9,800,Yes,No,Mid,Average
Royal Biryani Kitchen,BTM,"Biryani, North Indian, Kebab",3.9,600,Yes,No,Mid,Average
Sangam Sweets,HSR,"Mithai, Street Food",3.9,200,Yes,No,Low,Average
Al Daaz,HSR,"North Indian, Continental, BBQ",4.2,550,Yes,No,Mid,High Rating
Kaaram,Koramangala 6th Block,"Andhra, Biryani",3.9,500,Yes,No,Low,Average
Warm Oven,Domlur,"Bakery, Desserts",4.3,500,Yes,No,Low,High Rating
Sulemani Chichas,Koramangala 5th Block,"Biryani, Hyderabadi, Kebab",4.1,400,Yes,No,Low,High Rating
A 1 Pizza and Food,Old Airport Road,"Pizza, Chinese, North Indian",2.8,300,Yes,No,Low,Low Rating
Mad Over Donuts,Koramangala 7th Block,"Bakery, Desserts, Beverages",4.2,450,Yes,No,Low,High Rating
Behrouz Biryani,Koramangala 8th Block,Biryani,4.0,650,Yes,No,Mid,High Rating
The Biriyani Pedia,BTM,"Biryani, North Indian",3.9,300,Yes,No,Low,Average
Polar Bear,HSR,"Ice Cream, Desserts, Beverages, Sandwich",4.1,400,Yes,No,Low,High Rating
South Tiffins,HSR,South Indian,3.6,150,Yes,No,Low,Average
Dadi's Dum Biryani,BTM,"Biryani, North Indian, Mughlai",4.1,800,Yes,Yes,Mid,High Rating
Ghee Biryanis,BTM,"Biryani, North Indian",3.4,500,Yes,No,Low,Average
Alankrutha,BTM,"Andhra, Biryani, North Indian, Chinese",3.9,500,Yes,No,Low,Average
Asha Tiffins,HSR,South Indian,4.3,150,Yes,No,Low,High Rating
Samosa Singh,HSR,"Street Food, Fast Food, Rolls, Desserts",4.0,200,Yes,No,Low,High Rating
Ovenstory Pizza,Koramangala 8th Block,Pizza,4.1,750,Yes,No,Mid,High Rating
The Shawarma Shop,BTM,Arabian,4.1,250,Yes,No,Low,High Rating
The Belgian Waffle Co.,HSR,"Desserts, Beverages",4.1,350,Yes,No,Low,High Rating
Kabab Magic,BTM,"North Indian, Kebab, Fast Food",3.8,500,Yes,No,Low,Average
Sri Vishnu Park,BTM,"South Indian, North Indian, Chinese",3.8,350,Yes,No,Low,Average
Aasife & Brothers Biriyani Centre,HSR,"Biryani, North Indian, South Indian, Chinese",3.9,600,Yes,No,Mid,Average
McDonald's,HSR,"Burger, Fast Food",3.8,500,Yes,No,Low,Average
Thalassery Restaurant,Koramangala 5th Block,"Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",3.7,600,Yes,No,Mid,Average
Chaatimes,BTM,"Street Food, Fast Food",3.4,200,Yes,No,Low,Average
Potful,Domlur,"Biryani, Kebab, Rolls, Mughlai",4.1,650,Yes,No,Mid,High Rating
Krishna Sagar,BTM,"South Indian, North Indian, Chinese",3.9,300,Yes,No,Low,Average
Sri Udupi Park,HSR,"South Indian, North Indian, Chinese, Beverages",4.0,300,Yes,No,Low,High Rating
Pathaan Sir,BTM,"Rolls, Chinese",3.9,300,Yes,No,Low,Average
Gurukrupa Paratha House,Domlur,"North Indian, Chinese",3.1,500,Yes,No,Low,Average
Noodle Panda,Koramangala 5th Block,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",4.3,800,Yes,No,Mid,High Rating
Odissi Restaurant,BTM,"Oriya, Bengali",2.9,500,Yes,No,Low,Low Rating
Delite Chaat House,Koramangala 6th Block,"Street Food, Gujarati",3.9,300,Yes,No,Low,Average
Chaiwala,Koramangala 1st Block,Fast Food,3.1,100,Yes,No,Low,Average
Savoury - Sea Shell Restaurant,BTM,"Arabian, North Indian, Chinese, Fast Food",3.9,750,Yes,No,Mid,Average
C. K. Mega Hot Food,BTM,"Chinese, Momos",3.9,600,Yes,No,Mid,Average
Grow Fit,Koramangala 6th Block,"Healthy Food, North Indian, Thai",4.0,500,Yes,No,Low,High Rating
Yum In My Tum,BTM,"Chinese, Continental, Fast Food, Healthy Food",4.2,300,Yes,No,Low,High Rating
ONE IN A MELON,Koramangala 7th Block,"Juices, Healthy Food",4.1,300,Yes,No,Low,High Rating
Tarbouche,Koramangala 5th Block,"Turkish, Rolls",4.0,300,Yes,No,Low,High Rating
Stoned Monkey,Koramangala 6th Block,"Desserts, Ice Cream",4.1,500,Yes,No,Low,High Rating
Szechuan Dragon,HSR,"Chinese, Thai, Momos",4.0,600,Yes,No,Mid,High Rating
Mustard Cafe,Koramangala 3rd Block,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",4.1,800,Yes,No,Mid,High Rating
Ashirvaad Grand,BTM,"Chinese, North Indian, South Indian",4.0,400,Yes,No,Low,High Rating
Bubble Bee,HSR,"Beverages, Bubble Tea, Desserts",3.9,400,Yes,No,Low,Average
Podi Idly,Koramangala 6th Block,South Indian,4.3,250,Yes,No,Low,High Rating
Vijayalakshmi Veg,Jayanagar,South Indian,3.9,200,Yes,No,Low,Average
Aramane Donne Biriyani,BTM,"Biryani, Fast Food",3.9,300,Yes,No,Low,Average
The Pancake Story,Koramangala 1st Block,"Desserts, Beverages",4.6,300,Yes,No,Low,High Rating
Barbeque Station,Koramangala 7th Block,"North Indian, Chinese, BBQ",2.8,700,Yes,No,Mid,Low Rating
Howlin Wolf,HSR,"Italian, Mediterranean, European, Sandwich",4.1,700,Yes,No,Mid,High Rating
Beer Adda,Koramangala 5th Block,"North Indian, Chinese, Pizza",4.3,1000,Yes,Yes,Mid,High Rating
Moolehatti Donne Biryani Mane,HSR,"Biryani, Chinese, North Indian, Kebab",3.6,400,Yes,No,Low,Average
Rolla Rappa,HSR,"Biryani, Fast Food, Rolls, Momos",3.6,400,Yes,No,Low,Average
Punjabi Nawabi,Koramangala 1st Block,North Indian,3.8,500,Yes,No,Low,Average
Khai Khai,HSR,Bengali,4.0,450,Yes,No,Low,High Rating
Indiana Burgers,Domlur,Burger,3.5,300,Yes,No,Low,Average
Gorbandh,BTM,"Fast Food, North Indian",4.0,400,Yes,No,Low,High Rating
Zee5 Loft,HSR,"Cafe, Burger, Pizza, Sandwich",4.4,700,Yes,No,Mid,High Rating
Tall Blonde French,Koramangala 5th Block,Fast Food,4.3,400,Yes,No,Low,High Rating
Mealer.in,Koramangala 4th Block,"North Indian, Biryani",4.2,450,Yes,No,Low,High Rating
New Gongura Grand,HSR,"Andhra, Biryani, North Indian, Chinese",3.9,550,Yes,No,Mid,Average
Belgian Waffle Factory,Koramangala 5th Block,Desserts,4.8,400,Yes,No,Low,High Rating
Hyderabadi Biryani Hub,BTM,"Biryani, North Indian, Chinese",3.6,600,Yes,No,Mid,Average
WTF,Koramangala 5th Block,"Cafe, Continental",4.1,600,Yes,No,Mid,High Rating
Biryani Palace,HSR,"Biryani, Hyderabadi, Chinese",3.9,600,Yes,No,Mid,Average
What'sinaPita,Koramangala 1st Block,"Mediterranean, Middle Eastern, Wraps, Rolls",3.9,400,Yes,No,Low,Average
Occasions,Koramangala 4th Block,"Bakery, Desserts",4.3,400,Yes,No,Low,High Rating
Chowpatty,Koramangala 1st Block,"North Indian, Fast Food, Street Food",3.6,300,Yes,No,Low,Average
Le Gateau - The Cake Shop,Old Airport Road,"Desserts, Bakery",4.4,600,Yes,No,Mid,High Rating
Fritz Haber,HSR,"Ice Cream, Desserts",4.0,450,Yes,No,Low,High Rating
Krispy Kreme,HSR,"Desserts, Beverages",3.9,300,Yes,No,Low,Average
Punjab Di Shaan,HSR,North Indian,3.0,450,Yes,No,Low,Average
House Stark Cafe,HSR,"Cafe, Desserts, Fast Food, Burger",3.9,300,Yes,No,Low,Average
Magix's Parattha Roll,BTM,"Fast Food, North Indian, Chinese, Mughlai, Rolls",3.7,400,Yes,No,Low,Average
Smally's Resto Cafe,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",4.2,650,Yes,Yes,Mid,High Rating
Ambur Star Briyani,BTM,"Biryani, Kebab",3.7,400,Yes,No,Low,Average
99 Pancakes,Koramangala 5th Block,"Desserts, Cafe",4.5,300,Yes,No,Low,High Rating
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,Vietnamese,4.4,1000,Yes,Yes,Mid,High Rating
Tenzin Kitchen,Koramangala 7th Block,"Tibetan, Chinese, Momos",4.2,450,Yes,No,Low,High Rating
Tibetan Kitchen,Koramangala 5th Block,"Tibetan, Chinese, Continental, Momos",4.3,600,Yes,No,Mid,High Rating
Dosa Plaza,Koramangala 5th Block,"South Indian, North Indian, Chinese, Beverages",3.8,200,Yes,No,Low,Average
PHEW (Play Hard Eat Wild),BTM,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",3.9,700,Yes,Yes,Mid,Average
Bite Me Cupcakes,Koramangala 4th Block,Desserts,4.1,300,Yes,No,Low,High Rating
Howrah Bridge,HSR,"Bengali, Seafood",3.3,600,Yes,No,Mid,Average
Roundup Cafe,Koramangala 5th Block,"Cafe, Continental, Beverages",4.2,800,Yes,Yes,Mid,High Rating
Foodiesthan,HSR,"Cafe, Fast Food, North Indian",3.7,600,Yes,No,Mid,Average
The Waffles Hut,HSR,Desserts,4.1,400,Yes,No,Low,High Rating
Pin Me Down,BTM,"Continental, Mexican, Chinese, North Indian",4.5,800,Yes,Yes,Mid,High Rating
Shagun Sweets & Foods,BTM,"Mithai, North Indian, Street Food, Chinese",3.5,400,Yes,No,Low,Average
Tetto,Koramangala 1st Block,Continental,3.7,1200,Yes,No,Premium,Average
Waffle Magic,Koramangala 6th Block,"Cafe, Desserts",4.1,700,Yes,No,Mid,High Rating
Nuts Over Salads Cafe,Koramangala 5th Block,"Cafe, Salad",4.4,800,Yes,Yes,Mid,High Rating
Axomi - Taste of Assam,Koramangala 7th Block,Assamese,4.1,500,Yes,No,Low,High Rating
Under The Tree,Domlur,"Desserts, Juices, Fast Food",3.0,200,Yes,No,Low,Average
Dwaraka Krishna,BTM,"North Indian, Biryani, Chinese",3.7,500,Yes,No,Low,Average
Stoner,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",4.5,500,Yes,No,Low,High Rating
Napoli Italian Bistro,HSR,"Italian, Mexican, Continental, Pizza",4.1,1200,Yes,Yes,Premium,High Rating
Hyderabad Biryaani House,Koramangala 5th Block,"Biryani, North Indian, Chinese, Hyderabadi",4.1,750,Yes,No,Mid,High Rating
Makers of Milkshakes,Koramangala 5th Block,Beverages,4.2,400,Yes,No,Low,High Rating
Nutri Rich,Koramangala 7th Block,Healthy Food,3.8,350,Yes,No,Low,Average
Waffle Head,BTM,"Desserts, Beverages, Bakery, Ice Cream",4.0,300,Yes,No,Low,High Rating
Lot Like Crepes,Koramangala 7th Block,"Cafe, Desserts, Continental",4.6,550,Yes,No,Mid,High Rating
Soup'ermanz Kitchen,HSR,"Cafe, Continental, Burger",4.1,750,Yes,No,Mid,High Rating
The Rasaganga,HSR,"South Indian, North Indian, Chinese, Street Food",3.9,300,Yes,No,Low,Average
Barbeque Delight,Koramangala 5th Block,"Arabian, Kerala, North Indian, Chinese, BBQ",3.8,800,Yes,No,Mid,Average
Tapri By The Corner,Koramangala 5th Block,Fast Food,4.1,250,Yes,No,Low,High Rating
Koramangala Social,Koramangala 7th Block,"American, North Indian, Chinese, Finger Food",4.6,1500,Yes,No,Premium,High Rating
Tibetan Mother's Kitchen,Koramangala 7th Block,"Tibetan, Chinese, Momos",4.0,500,Yes,No,Low,High Rating
WAFL Co,Koramangala 5th Block,"Desserts, Beverages",4.2,400,Yes,No,Low,High Rating
Sri Dalma,HSR,"Oriya, Bengali",3.8,350,Yes,No,Low,Average
Anda Ka Funda,BTM,"North Indian, Chinese, Rolls",3.2,250,Yes,No,Low,Average
Bangalore Cafe,HSR,"South Indian, Fast Food",3.7,400,Yes,No,Low,Average
Sri Krishna Sagar,HSR,"South Indian, North Indian, Chinese, Street Food, Juices",3.5,400,Yes,No,Low,Average
Healthie,Koramangala 7th Block,"Healthy Food, Beverages",3.9,600,Yes,No,Mid,Average
Rusbury Fresh Sweets And Savouries,HSR,"Mithai, Street Food",4.0,200,Yes,No,Low,High Rating
PSV's Andhra Paradise,HSR,"Andhra, Chinese, North Indian, Hyderabadi",3.5,600,Yes,No,Mid,Average
Tea Villa Cafe,HSR,"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",4.2,800,Yes,Yes,Mid,High Rating
The Paramount Hotel,Domlur,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",2.9,1000,Yes,No,Mid,Low Rating
Gramin,Koramangala 7th Block,North Indian,4.3,600,Yes,No,Mid,High Rating
Smise,Koramangala 4th Block,"Cafe, Continental, Italian, Burger, Pizza",4.0,650,Yes,Yes,Mid,High Rating
Bearfoot Cafe,Koramangala 6th Block,Cafe,4.2,600,Yes,No,Mid,High Rating
Baba Chatkora,Koramangala 6th Block,North Indian,4.2,1000,Yes,No,Mid,High Rating
Laddoos,BTM,"North Indian, Street Food, Mithai",3.4,250,Yes,No,Low,Average
The Egg Factory,HSR,"Continental, American",4.0,750,Yes,No,Mid,High Rating
Keventers,Koramangala 5th Block,"Desserts, Beverages, Ice Cream",4.0,400,Yes,No,Low,High Rating
Paisa Vasool,Koramangala 7th Block,North Indian,3.3,400,Yes,No,Low,Average
Uptown Sliders & Shakes,HSR,"Burger, Fast Food, Beverages",3.9,600,Yes,No,Mid,Average
Davanagere Benne Dose,HSR,South Indian,3.9,150,Yes,No,Low,Average
Malabar Bay,BTM,"Kerala, Seafood, Chinese, Biryani, Juices",4.2,800,Yes,Yes,Mid,High Rating
Pappu Chaiwalla,BTM,"North Indian, Momos, Rolls, Fast Food",3.1,350,Yes,No,Low,Average
Firangi Bake,BTM,"Mexican, Italian",4.1,600,Yes,No,Mid,High Rating
Pot Biryani,Domlur,"North Indian, Chinese, Biryani, Seafood",3.9,600,Yes,No,Mid,Average
Sweet Chariot,Koramangala 7th Block,"Bakery, Fast Food",4.0,500,Yes,No,Low,High Rating
Pizza Stop,Domlur,"Pizza, Italian",3.2,600,Yes,No,Mid,Average
Pizza Cart,HSR,Pizza,3.8,800,Yes,No,Mid,Average
Kairali,BTM,"Kerala, South Indian, Seafood, Biryani",3.9,300,Yes,No,Low,Average
Krem,Koramangala 5th Block,"Desserts, Ice Cream, Beverages, Sandwich",4.1,450,Yes,No,Low,High Rating
Cream Stone,HSR,"Desserts, Beverages",4.2,500,Yes,No,Low,High Rating
Arya Hungry?,Koramangala 7th Block,North Indian,4.3,450,Yes,No,Low,High Rating
Mitran Da Junction,Koramangala 6th Block,North Indian,4.1,600,Yes,No,Mid,High Rating
Cravy Wings,Bannerghatta Road,"American, Burger, Fast Food",4.2,400,Yes,No,Low,High Rating
The Litti Company,HSR,Bihari,3.7,400,Yes,No,Low,Average
Chai Galli,Koramangala 5th Block,"Cafe, Tea, Street Food",4.3,450,Yes,No,Low,High Rating
Grigliato,HSR,"Italian, Chinese, Continental, Steak",3.9,1000,Yes,No,Mid,Average
Bamey's Restro Cafe,Koramangala 5th Block,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",4.2,600,Yes,No,Mid,High Rating
El Salver,BTM,"North Indian, Chinese, South Indian",3.9,900,Yes,Yes,Mid,Average
Fresh Pressery Cafe,Koramangala 5th Block,"Cafe, Healthy Food, Salad, Beverages, Desserts",4.1,1200,Yes,No,Premium,High Rating
Habibi Falafel,Koramangala 1st Block,"Lebanese, Middle Eastern",4.3,300,Yes,No,Low,High Rating
Third Wave Coffee Roasters,Koramangala 4th Block,"Cafe, Continental, Desserts",4.4,800,No,No,Mid,High Rating
Go Italia,Koramangala 6th Block,"Italian, Pizza, Fast Food, Salad",4.0,750,Yes,No,Mid,High Rating
WOW! Momo,Koramangala 4th Block,"Tibetan, Momos",3.9,400,Yes,No,Low,Average
Hotel Junior Kuppanna,HSR,"Chettinad, South Indian",3.1,550,Yes,No,Mid,Average
Oh My Biryani,HSR,"Biryani, North Indian",3.7,550,Yes,No,Mid,Average
Goli Vada Pav No. 1,Koramangala 5th Block,Street Food,3.7,200,Yes,No,Low,Average
Fillers,BTM,"North Indian, Fast Food",3.9,300,Yes,No,Low,Average
Bakers Town,BTM,"Cafe, Continental, Fast Food",3.6,600,Yes,No,Mid,Average
1722 Urban Bistro,Koramangala 5th Block,"North Indian, Chinese, Fast Food, Biryani",4.1,600,Yes,Yes,Mid,High Rating
Mani's Dum Biryani,Koramangala 1st Block,Biryani,3.9,750,Yes,No,Mid,Average
Cream Chemistry,Koramangala 5th Block,"Ice Cream, Desserts",4.0,500,Yes,No,Low,High Rating
Little Kolkata,Ejipura,"Bengali, North Indian",3.9,500,Yes,No,Low,Average
Friend's Cafe,Koramangala 7th Block,"Fast Food, American, Chinese",3.9,600,Yes,No,Mid,Average
Domino's Pizza,Koramangala 6th Block,"Pizza, Fast Food",4.0,400,Yes,No,Low,High Rating
TRUE BLEU RESTO CAFE,HSR,"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",4.2,400,Yes,No,Low,High Rating
GKT Biryani World,HSR,"Biryani, Italian, BBQ",3.7,350,Yes,No,Low,Average
Bakingo,Koramangala 1st Block,"Bakery, Desserts",4.0,500,Yes,No,Low,High Rating
Cucumber Town,BTM,"Kerala, North Indian",4.2,600,Yes,No,Mid,High Rating
Snow'ora,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",4.3,450,Yes,Yes,Low,High Rating
Cake Dilim,HSR,"Bakery, Desserts",3.7,400,Yes,No,Low,Average
Blue Tokai Coffee Roasters,Koramangala 8th Block,"Cafe, Coffee",4.0,400,Yes,No,Low,High Rating
The Sandwich Club,HSR,Fast Food,3.9,250,Yes,No,Low,Average
Gam's Delicacy,Koramangala 7th Block,"North Indian, Chinese, Assamese",4.2,800,Yes,Yes,Mid,High Rating
Under The Hood,Koramangala 1st Block,"Salad, Healthy Food, Street Food",4.0,300,Yes,No,Low,High Rating
Pasta Street,Koramangala 4th Block,"Italian, Pizza, Salad",4.5,1300,Yes,Yes,Premium,High Rating
Juice Junction,Koramangala 5th Block,"Juices, Fast Food",3.9,150,Yes,No,Low,Average
Amour Fine Patisserie,HSR,"Cafe, Desserts, Continental",4.0,500,Yes,Yes,Low,High Rating
Biryani Miya,Koramangala 4th Block,"Biryani, North Indian",3.8,600,Yes,No,Mid,Average
Smoor,Koramangala 7th Block,"Desserts, Beverages",4.2,900,Yes,No,Mid,High Rating
Punjabi Swag,BTM,North Indian,3.9,500,Yes,No,Low,Average
EggFactor - Street House,HSR,Fast Food,4.2,200,Yes,No,Low,High Rating
Le Charcoal Xpress,HSR,"Arabian, BBQ, Rolls, Lebanese",4.0,500,Yes,No,Low,High Rating
Toscano,Koramangala 7th Block,"Italian, Salad",4.5,1500,Yes,Yes,Premium,High Rating
1000 B.C,Koramangala 5th Block,"Arabian, Sandwich, Rolls, Burger",3.2,300,Yes,No,Low,Average
Sweet Truth,Koramangala 8th Block,"Bakery, Desserts",4.2,500,Yes,No,Low,High Rating
Gelato Italiano,Koramangala 5th Block,"Ice Cream, Bakery, Desserts",3.9,200,Yes,No,Low,Average
Dev's Gugababa,BTM,"Bengali, North Indian, Chinese",3.5,500,Yes,No,Low,Average
Meat And Eat,Koramangala 7th Block,"Fast Food, Burger",3.6,500,Yes,No,Low,Average
Rock Stone Ice Cream Factory,BTM,Ice Cream,4.0,230,Yes,No,Low,High Rating
Frozen Bottle,HSR,"Beverages, Desserts, Ice Cream",4.1,400,Yes,No,Low,High Rating
Bun Town,BTM,"Cafe, Bakery",4.0,500,Yes,No,Low,High Rating
All Shook Up!,Domlur,"Desserts, Beverages",3.9,300,Yes,No,Low,Average
Ramji Chaiwale,Old Airport Road,"Beverages, Fast Food",3.9,250,Yes,No,Low,Average
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,"North Indian, Mughlai, Biryani",4.4,1500,Yes,Yes,Premium,High Rating
Karahi Kitchen,Koramangala 5th Block,"Andhra, Biryani, Chinese",4.0,300,Yes,No,Low,High Rating
7 Plates,Koramangala 5th Block,"Mughlai, Fast Food",3.7,750,Yes,No,Mid,Average
The Bong Palate,BTM,"Bengali, North Indian, Chinese",3.8,300,Yes,No,Low,Average
The Shawarma Inc,Koramangala 5th Block,"Arabian, Fast Food",3.4,200,Yes,No,Low,Average
Rajesh Restaurant,HSR,"North Indian, Chinese, South Indian, Continental",3.5,700,Yes,Yes,Mid,Average
YORK St.,Koramangala 5th Block,"Cafe, European, Continental",4.4,900,Yes,No,Mid,High Rating
The Ganache Factory,Domlur,"Desserts, Bakery",4.1,400,Yes,No,Low,High Rating
Brooks and Bonds Brewery,Koramangala 5th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",4.5,1600,Yes,Yes,Premium,High Rating
Zangos Grill,Koramangala 1st Block,"BBQ, Fast Food",4.0,300,Yes,No,Low,High Rating
Cafe Coffee Day,HSR,"Cafe, Fast Food",3.4,900,Yes,No,Mid,Average
The Wok Shop,Koramangala 1st Block,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",4.1,500,Yes,No,Low,High Rating
Juice Junction Food Court,HSR,"Juices, South Indian, Chinese, Fast Food",3.8,200,Yes,No,Low,Average
Peace Restaurant,Koramangala 5th Block,"Chinese, Tibetan",3.9,500,Yes,No,Low,Average
Faasos,Koramangala 8th Block,"North Indian, Biryani, Fast Food",4.0,500,Yes,No,Low,High Rating
